symbol,candle_time,is_close_gt_ema,is_in_uptrend,uptrend_time_span,is_close_lt_ema,is_in_downtrend,downtrend_time_span,status
BANKNIFTY24MAYFUT,2024-04-26 09:40:03.278236,True,True,7,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 09:45:02.373133,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 09:50:02.371879,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 09:55:02.343298,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:00:02.444564,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:05:02.461832,False,False,0,False,True,5,
BANKNIFTY24MAYFUT,2024-04-26 10:10:02.464772,False,False,0,False,True,6,
BANKNIFTY24MAYFUT,2024-04-26 10:15:02.391056,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:20:02.605829,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:25:02.315461,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:30:02.411223,False,False,0,False,True,10,
BANKNIFTY24MAYFUT,2024-04-26 10:35:02.350312,False,False,0,False,True,11,
BANKNIFTY24MAYFUT,2024-04-26 10:40:02.339774,False,False,0,False,True,12,
BANKNIFTY24MAYFUT,2024-04-26 10:45:02.403115,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:50:02.418939,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 10:55:02.664644,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:00:03.025211,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:05:02.495441,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:10:02.378467,False,False,0,False,True,18,
BANKNIFTY24MAYFUT,2024-04-26 11:15:02.426543,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:20:02.462572,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:25:03.199461,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:30:02.501579,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:35:02.474029,True,True,5,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:40:02.462319,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:45:02.409505,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:50:02.534128,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 11:55:02.494282,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:00:02.441188,False,False,0,False,True,5,
BANKNIFTY24MAYFUT,2024-04-26 12:05:02.497995,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:10:02.406606,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:15:02.461886,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:20:02.805112,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:25:02.750053,False,True,5,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:30:02.837310,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:35:02.825560,False,True,17,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:40:02.729246,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:45:03.095343,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:50:02.466369,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 12:55:02.475373,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 13:00:02.450946,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 13:05:02.689808,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 13:10:02.657215,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 13:15:02.422953,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-26 13:20:02.609521,False,False,0,False,True,5,
BANKNIFTY24MAYFUT,2024-04-26 13:25:02.568120,False,False,0,False,False,0,
