symbol,candle_time,is_close_gt_ema,is_in_uptrend,uptrend_time_span,is_close_lt_ema,is_in_downtrend,downtrend_time_span,status
BANKNIFTY24MAYFUT,2024-04-25 09:25:02.893058,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 09:30:02.013764,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 09:35:02.008499,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 09:40:02.003245,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 09:45:02.004637,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 09:50:02.004247,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 09:55:02.003840,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:00:02.003059,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:05:02.002407,True,True,9,False,False,0,Long Position Entered.
BANKNIFTY24MAYFUT,2024-04-25 10:15:03.017328,True,True,11,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:20:02.408360,True,True,12,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:25:02.335589,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:30:02.900357,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:35:02.475141,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:40:02.885992,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:45:02.402696,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 10:50:02.369776,True,False,0,False,True,6,
BANKNIFTY24MAYFUT,2024-04-25 10:55:02.334434,False,False,0,False,True,7,
BANKNIFTY24MAYFUT,2024-04-25 11:00:02.480256,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 11:05:02.320364,False,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 11:10:02.819639,True,False,0,False,False,0,
BANKNIFTY24MAYFUT,2024-04-25 11:15:02.553191,True,False,0,False,False,0,
