tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-02-19 15:05:00+05:30,8891.4,True,False,2018,2015-02-19 15:05:00+05:30,8880.3,8892.35,8880.2,8891.4,0,8844.019853948113,8841.812488989292,8831.656092034546,1,True,True,True,True,True,False,6,0,280,0,BUY,71.0,8827.65,2015-02-20 09:35:00+05:30,SELL,-4526.25,122108.20000000001,10,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-20 11:45:00+05:30,8878.95,True,False,2053,2015-02-20 11:45:00+05:30,8872.1,8883.05,8872.1,8878.95,0,8855.636295171837,8850.573180576168,8838.184554675076,1,True,True,True,True,True,False,7,0,280,0,BUY,68.0,8838.1,2015-02-20 13:55:00+05:30,SELL,-2777.8000000000247,119330.4,11,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-23 14:15:00+05:30,8771.4,False,True,2158,2015-02-23 14:15:00+05:30,8776.05,8782.1,8768.75,8771.4,0,8823.211522640808,8836.969359326604,8843.760694556142,-1,True,True,True,True,True,True,0,9,0,5,SELL,-68.0,8807.55,2015-02-25 09:15:00+05:30,BUY,-2458.1999999999753,116872.20000000001,12,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-25 11:50:00+05:30,8825.6,True,False,2279,2015-02-25 11:50:00+05:30,8823.6,8826.7,8822.4,8825.6,0,8818.713841744046,8805.004927684642,8802.435432669967,1,True,True,True,True,True,True,32,0,5,0,BUY,66.0,8794.05,2015-02-25 13:55:00+05:30,SELL,-2082.300000000072,114789.89999999994,13,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-25 14:50:00+05:30,8754.45,False,True,2315,2015-02-25 14:50:00+05:30,8770.15,8771.95,8752.7,8754.45,0,8785.189643712292,8797.697072782834,8802.202219706389,-1,True,True,True,True,True,True,0,13,0,5,SELL,-65.0,8764.75,2015-02-27 11:35:00+05:30,BUY,-669.4999999999527,114120.39999999998,14,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-27 13:40:00+05:30,8818.9,True,False,2451,2015-02-27 13:40:00+05:30,8800.35,8818.9,8800.15,8818.9,0,8787.400056443399,8765.159819309956,8759.816833813667,1,True,True,True,False,False,False,33,0,5,0,BUY,64.0,8785.1,2015-02-28 13:15:00+05:30,SELL,-2163.1999999999534,111957.20000000003,15,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-28 15:10:00+05:30,8907.1,True,False,2544,2015-02-28 15:10:00+05:30,8877.55,8911.8,8876.7,8907.1,0,8844.341878519492,8843.209112547169,8817.258253153714,1,True,True,True,False,False,False,6,0,98,0,BUY,62.0,8983.6,2015-03-04 14:30:00+05:30,SELL,4743.0,116700.20000000003,16,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-05 10:25:00+05:30,8933.15,False,True,2787,2015-03-05 10:25:00+05:30,8936.65,8938.05,8931.0,8933.15,0,8933.479207586219,8966.164003740932,8972.191500929574,-1,False,False,False,True,True,True,0,32,0,5,SELL,-65.0,8952.05,2015-03-05 15:10:00+05:30,BUY,-1228.4999999999764,115471.70000000006,17,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-09 09:35:00+05:30,8811.75,False,True,2852,2015-03-09 09:35:00+05:30,8831.55,8836.9,8811.75,8811.75,0,8881.699119521716,8897.037113053693,8936.29815497053,-1,False,False,False,True,True,True,0,5,0,70,SELL,-65.0,8756.8,2015-03-12 09:20:00+05:30,BUY,3571.7500000000473,119043.4500000001,18,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-13 09:15:00+05:30,8819.7,True,False,3148,2015-03-13 09:15:00+05:30,8844.05,8844.05,8816.3,8819.7,0,8770.747990844606,8761.70111958101,8757.949871946692,1,True,True,True,True,True,True,14,0,5,0,BUY,67.0,8737.3,2015-03-13 10:05:00+05:30,SELL,-5520.8000000000975,113522.65,19,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-13 11:30:00+05:30,8700.8,False,True,3173,2015-03-13 11:30:00+05:30,8732.35,8732.45,8696.35,8700.8,0,8742.228715648946,8753.334413423612,8757.067022659363,-1,False,False,False,True,True,True,0,18,0,5,SELL,-65.0,8681.3,2015-03-17 09:45:00+05:30,BUY,1267.5,114790.15,20,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-17 11:45:00+05:30,8717.15,True,False,3322,2015-03-17 11:45:00+05:30,8719.35,8722.1,8716.75,8717.15,0,8716.182926071568,8692.366299786612,8687.883752366753,1,True,True,True,True,True,True,32,0,5,0,BUY,65.0,8686.35,2015-03-17 12:05:00+05:30,SELL,-2001.9999999999527,112788.15000000004,21,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-17 13:25:00+05:30,8665.1,False,True,3342,2015-03-17 13:25:00+05:30,8649.1,8665.15,8649.1,8665.1,0,8675.2774096632,8682.320010997993,8685.914567646018,-1,True,True,True,True,True,True,0,10,0,5,SELL,-65.0,8702.75,2015-03-17 15:00:00+05:30,BUY,-2447.2499999999764,110340.90000000007,22,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-18 09:55:00+05:30,8701.25,True,False,3375,2015-03-18 09:55:00+05:30,8691.1,8701.55,8690.25,8701.25,0,8697.705055592252,8687.3310800884,8684.917486109929,1,True,True,True,True,True,True,16,0,6,0,BUY,63.0,8691.5,2015-03-18 13:45:00+05:30,SELL,-614.25,109726.65000000007,23,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-19 09:35:00+05:30,8782.45,True,False,3446,2015-03-19 09:35:00+05:30,8771.7,8783.4,8771.7,8782.45,0,8715.003462865878,8705.561990178929,8695.10509213217,1,True,True,True,True,True,True,5,0,77,0,BUY,62.0,8705.25,2015-03-19 14:25:00+05:30,SELL,-4786.400000000045,104940.25000000003,24,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-20 09:25:00+05:30,8597.3,False,True,3519,2015-03-20 09:25:00+05:30,8606.9,8610.45,8595.25,8597.3,0,8658.105221899506,8696.166181595892,8708.402112938398,-1,False,False,False,True,True,True,0,16,0,5,SELL,-61.0,8601.1,2015-03-24 11:30:00+05:30,BUY,-231.80000000006658,104708.44999999997,25,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-24 13:30:00+05:30,8551.95,False,True,3718,2015-03-24 13:30:00+05:30,8562.4,8562.4,8551.0,8551.95,0,8575.368812093047,8576.910656155364,8595.547870414659,-1,True,True,False,True,True,True,0,5,0,204,SELL,-61.0,8615.85,2015-03-24 14:00:00+05:30,BUY,-3897.899999999978,100810.54999999999,26,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-03-24 15:00:00+05:30,8537.6,False,True,3736,2015-03-24 15:00:00+05:30,8549.0,8555.9,8537.15,8537.6,0,8578.883404110638,8580.075519787299,8593.667642838935,-1,False,False,False,True,True,True,0,5,0,222,SELL,-59.0,8410.7,2015-03-30 10:00:00+05:30,BUY,7487.0999999999785,108297.64999999997,27,s8_NIFTY 50_close_200_exit
