tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-02-19 15:00:00+05:30,8880.85,True,False,2017,2015-02-19 15:00:00+05:30,8860.2,8882.0,8859.75,8880.85,0,8839.032470153179,8839.788508948039,8831.055650748462,1,True,True,True,True,True,False,5,0,251,0,BUY,72.0,8827.65,2015-02-20 09:35:00+05:30,SELL,-3830.4000000000524,124572.54999999996,11,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-20 11:35:00+05:30,8871.35,True,False,2051,2015-02-20 11:35:00+05:30,8863.4,8876.85,8862.85,8871.35,0,8851.19613897723,8848.491063173098,8837.430377854795,-1,True,True,True,True,True,False,5,0,251,0,BUY,70.0,8838.1,2015-02-20 13:55:00+05:30,SELL,-2327.5,122245.04999999996,12,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-20 14:25:00+05:30,8869.55,True,False,2085,2015-02-20 14:25:00+05:30,8865.9,8870.25,8861.75,8869.55,0,8864.021480857626,8860.760730458996,8845.44754267433,-1,True,True,True,True,True,False,5,0,251,0,BUY,68.0,8844.3,2015-02-20 15:00:00+05:30,SELL,-1717.0,120528.04999999996,13,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-23 09:55:00+05:30,8862.0,True,False,2106,2015-02-23 09:55:00+05:30,8864.9,8867.4,8859.5,8862.0,0,8854.966424476243,8855.757394219327,8846.573233470905,1,True,True,True,True,True,False,5,0,251,0,BUY,68.0,8842.2,2015-02-23 10:05:00+05:30,SELL,-1346.3999999999505,119181.65000000001,14,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-23 14:15:00+05:30,8771.4,False,True,2158,2015-02-23 14:15:00+05:30,8776.05,8782.1,8768.75,8771.4,0,8823.211522640808,8836.969359326604,8843.760694556142,-1,True,True,True,True,True,True,0,9,0,5,SELL,-67.0,8807.55,2015-02-25 09:15:00+05:30,BUY,-2422.0499999999756,116759.60000000003,15,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-25 11:50:00+05:30,8825.6,True,False,2279,2015-02-25 11:50:00+05:30,8823.6,8826.7,8822.4,8825.6,0,8818.713841744046,8805.004927684642,8802.435432669967,1,True,True,True,True,True,True,32,0,5,0,BUY,66.0,8794.05,2015-02-25 13:55:00+05:30,SELL,-2082.300000000072,114677.29999999996,16,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-25 14:50:00+05:30,8754.45,False,True,2315,2015-02-25 14:50:00+05:30,8770.15,8771.95,8752.7,8754.45,0,8785.189643712292,8797.697072782834,8802.202219706389,-1,True,True,True,True,True,True,0,13,0,5,SELL,-65.0,8764.75,2015-02-27 11:35:00+05:30,BUY,-669.4999999999527,114007.8,17,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-27 13:40:00+05:30,8818.9,True,False,2451,2015-02-27 13:40:00+05:30,8800.35,8818.9,8800.15,8818.9,0,8787.400056443399,8765.159819309956,8759.816833813667,1,True,True,True,False,False,False,33,0,5,0,BUY,64.0,8785.1,2015-02-28 13:15:00+05:30,SELL,-2163.1999999999534,111844.60000000005,18,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-28 15:05:00+05:30,8877.65,True,False,2543,2015-02-28 15:05:00+05:30,8866.05,8881.9,8861.35,8877.65,0,8837.735760468911,8840.601321222564,8816.355321024605,1,True,True,True,False,False,False,5,0,97,0,BUY,62.0,8983.6,2015-03-04 14:30:00+05:30,SELL,6568.900000000045,118413.50000000009,19,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-05 10:25:00+05:30,8933.15,False,True,2787,2015-03-05 10:25:00+05:30,8936.65,8938.05,8931.0,8933.15,0,8933.479207586219,8966.164003740932,8972.191500929574,-1,False,False,False,True,True,True,0,32,0,5,SELL,-66.0,8952.05,2015-03-05 15:10:00+05:30,BUY,-1247.399999999976,117166.10000000011,20,s7_NIFTY 50_
