tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,is_ema20_in_downtrend,ema50,is_ema50_in_uptrend,is_ema50_in_downtrend,ema200,is_ema200_in_uptrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-02-12 13:55:00,8632.35,True,False,2015-02-12 13:55:00,8638.2,8639.95,8627.85,8632.35,0,8621.201938703045,True,False,8621.28320242413,True,False,8617.87162347851,True,False,5,0,85,0,BUY,63.0,8820.5,2015-02-19 11:00:00,SELL,11853.449999999977,120969.50000000022,10,s7_NIFTY 50
NIFTY 50,NSE,2015-02-19 15:00:00,8880.85,True,False,2015-02-19 15:00:00,8860.2,8882.0,8859.75,8880.85,0,8839.032470153179,True,False,8839.788508948039,True,False,8831.055650951337,True,False,5,0,251,0,BUY,68.0,8827.65,2015-02-20 09:35:00,SELL,-3617.6000000000495,117351.90000000017,11,s7_NIFTY 50
NIFTY 50,NSE,2015-02-20 11:35:00,8871.35,True,False,2015-02-20 11:35:00,8863.4,8876.85,8862.85,8871.35,0,8851.19613897723,True,False,8848.491063173098,True,False,8837.430377999204,True,False,5,0,251,0,BUY,66.0,8838.1,2015-02-20 13:55:00,SELL,-2194.5,115157.40000000017,12,s7_NIFTY 50
NIFTY 50,NSE,2015-02-23 09:55:00,8862.0,True,False,2015-02-23 09:55:00,8864.9,8867.4,8859.5,8862.0,0,8854.966424476243,True,True,8855.757394219327,True,True,8846.573233554225,True,False,5,0,251,0,BUY,64.0,8842.2,2015-02-23 10:05:00,SELL,-1267.1999999999534,113890.20000000022,13,s7_NIFTY 50
NIFTY 50,NSE,2015-02-23 14:15:00,8771.4,False,True,2015-02-23 14:15:00,8776.05,8782.1,8768.75,8771.4,0,8823.211522640808,False,True,8836.969359326604,False,True,8843.760694605675,False,True,0,9,0,5,SELL,-64.0,8807.55,2015-02-25 09:15:00,BUY,-2313.5999999999767,111576.60000000024,14,s7_NIFTY 50
NIFTY 50,NSE,2015-02-25 11:50:00,8825.6,True,False,2015-02-25 11:50:00,8823.6,8826.7,8822.4,8825.6,0,8818.713841744046,True,False,8805.004927684642,True,False,8802.435432684731,True,False,32,0,5,0,BUY,63.0,8794.05,2015-02-25 13:55:00,SELL,-1987.6500000000688,109588.95000000017,15,s7_NIFTY 50
NIFTY 50,NSE,2015-02-25 14:50:00,8754.45,False,True,2015-02-25 14:50:00,8770.15,8771.95,8752.7,8754.45,0,8785.189643712292,False,True,8797.697072782834,False,True,8802.202219716693,False,True,0,13,0,5,SELL,-62.0,8764.75,2015-02-27 11:35:00,BUY,-638.5999999999549,108950.35000000021,16,s7_NIFTY 50
NIFTY 50,NSE,2015-02-27 13:40:00,8818.9,True,False,2015-02-27 13:40:00,8800.35,8818.9,8800.15,8818.9,0,8787.400056443399,True,False,8765.159819309956,True,False,8759.816833816309,True,False,33,0,5,0,BUY,61.0,8785.1,2015-02-28 13:15:00,SELL,-2061.7999999999556,106888.55000000025,17,s7_NIFTY 50
NIFTY 50,NSE,2015-02-28 15:05:00,8877.65,True,False,2015-02-28 15:05:00,8866.05,8881.9,8861.35,8877.65,0,8837.735760468911,True,False,8840.601321222564,True,False,8816.35532102566,True,False,5,0,97,0,BUY,60.0,8983.6,2015-03-04 14:30:00,SELL,6357.000000000044,113245.5500000003,18,s7_NIFTY 50
NIFTY 50,NSE,2015-03-05 10:25:00,8933.15,False,True,2015-03-05 10:25:00,8936.65,8938.05,8931.0,8933.15,0,8933.479207586219,False,True,8966.164003740932,False,True,8972.191500929672,False,True,0,32,0,5,SELL,-63.0,8952.05,2015-03-05 15:10:00,BUY,-1190.699999999977,112054.85000000031,19,s7_NIFTY 50
