tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-04 15:15:00,19142.1,False,True,2015-02-04 15:15:00,19185.55,19185.8,19142.1,19142.1,0,19257.88652956652,False,0,True,5,19272.483572716475,False,0,True,5,19333.9433006315,False,0,True,20,19492.64586730369,False,0,True,16,0,5,0,251,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s7
NIFTY BANK,NSE,2015-02-05 15:10:00,19049.25,False,True,2015-02-05 15:10:00,19057.1,19084.05,19034.45,19049.25,0,19257.23631947021,False,0,True,8,19269.140324205306,False,0,True,5,19278.548086446328,False,0,True,5,19369.329131018807,False,0,True,8,0,5,0,251,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s7
NIFTY BANK,NSE,2015-02-10 13:20:00,18681.3,False,True,2015-02-10 13:20:00,18720.3,18724.8,18680.7,18681.3,0,18753.10341750537,False,0,True,16,18733.395088246914,False,0,True,5,18713.361869616845,False,0,False,0,18790.680327682858,False,0,True,15,0,5,0,251,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s7
NIFTY BANK,NSE,2015-02-11 10:30:00,19007.25,True,False,2015-02-11 10:30:00,19022.2,19023.2,18996.45,19007.25,0,18925.73987045535,True,7,False,0,18822.55075590804,True,5,False,0,18765.257734975075,True,5,False,0,18789.214003911628,True,18,False,0,25,0,6,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s7
NIFTY BANK,NSE,2015-02-12 12:30:00,18764.85,False,True,2015-02-12 12:30:00,18817.9,18817.9,18764.85,18764.85,0,18812.00580252408,False,0,True,7,18854.536845719304,False,0,True,5,18870.20403816118,False,0,True,17,18862.274103160795,False,0,True,14,0,37,0,5,SELL,-1,18854.95,2015-02-12 13:40:00,BUY,4,s7
NIFTY BANK,NSE,2015-02-12 15:15:00,19140.25,True,False,2015-02-12 15:15:00,19168.35,19174.2,19140.25,19140.25,0,19005.296758077777,True,5,False,0,18926.632864589414,True,20,False,0,18899.34900528764,True,20,False,0,18878.312398566806,True,20,False,0,20,0,9,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,5,s7
NIFTY BANK,NSE,2015-02-18 14:25:00,19321.2,True,False,2015-02-18 14:25:00,19320.1,19330.2,19314.45,19321.2,0,19289.428552637528,True,19,False,0,19272.52539154174,True,7,False,0,19274.983696429576,True,7,False,0,19244.383931286902,True,5,False,0,7,0,224,0,BUY,1,19257.55,2015-02-19 10:30:00,SELL,6,s7
NIFTY BANK,NSE,2015-02-19 11:25:00,19061.7,False,True,2015-02-19 11:25:00,19041.3,19063.75,19035.25,19061.7,0,19152.512022545816,False,0,True,13,19221.543413308205,False,0,True,16,19250.51163643464,False,0,True,15,19243.15982592968,False,0,True,12,0,16,0,5,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,7,s7
NIFTY BANK,NSE,2015-02-20 09:45:00,18971.7,False,True,2015-02-20 09:45:00,18940.3,18986.85,18936.1,18971.7,0,19033.975554862667,False,0,True,5,19055.22761615079,False,0,True,5,19106.56579830873,False,0,True,7,19155.23817358944,False,0,True,7,0,5,0,60,SELL,-1,19159.85,2015-02-20 11:20:00,BUY,8,s7
NIFTY BANK,NSE,2015-02-23 11:15:00,19104.8,False,True,2015-02-23 11:15:00,19124.3,19124.3,19101.95,19104.8,0,19141.0533483854,False,0,True,5,19146.81462012942,False,0,True,5,19144.49026168253,False,0,True,5,19152.70187360201,False,0,True,5,0,5,0,28,SELL,-1,18984.25,2015-02-25 09:15:00,BUY,9,s7
