tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_ema20_above_ema50,candle_cnt_ema20_below_ema50,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-04 15:25:00,19157.05,False,True,2015-02-04 15:25:00,19126.15,19157.05,19117.5,19157.05,0,19236.931603568057,False,0,True,7,19262.44323648299,False,0,True,7,19326.40722377505,False,0,False,0,19485.69668825669,False,0,True,18,0,5,0,7,0,251,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s9
NIFTY BANK,NSE,2015-02-06 09:15:00,19014.85,False,True,2015-02-06 09:15:00,19066.25,19066.25,18968.5,19014.85,0,19179.36041818829,False,0,True,12,19232.42011703999,False,0,True,9,19258.72260868344,False,0,True,9,19355.656459786405,False,0,True,12,0,5,0,9,0,251,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s9
NIFTY BANK,NSE,2015-02-10 14:10:00,18463.65,False,True,2015-02-10 14:10:00,18442.4,18483.95,18409.9,18463.65,0,18633.155432405383,False,0,True,6,18681.480978974843,False,0,True,15,18689.19492396397,False,0,True,11,18770.830527241367,False,0,True,5,0,7,0,15,0,251,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s9
NIFTY BANK,NSE,2015-02-11 10:30:00,19007.25,True,False,2015-02-11 10:30:00,19022.2,19023.2,18996.45,19007.25,0,18925.73987045535,True,7,False,0,18822.55075590804,True,5,False,0,18765.257734975075,True,5,False,0,18789.214003911628,True,18,False,0,17,0,25,0,6,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s9
NIFTY BANK,NSE,2015-02-12 12:30:00,18764.85,False,True,2015-02-12 12:30:00,18817.9,18817.9,18764.85,18764.85,0,18812.00580252408,False,0,True,7,18854.536845719304,False,0,True,5,18870.20403816118,False,0,True,17,18862.274103160795,False,0,True,14,0,35,0,37,0,5,SELL,-1,18854.95,2015-02-12 13:40:00,BUY,4,s9
NIFTY BANK,NSE,2015-02-12 15:15:00,19140.25,True,False,2015-02-12 15:15:00,19168.35,19174.2,19140.25,19140.25,0,19005.296758077777,True,5,False,0,18926.632864589414,True,20,False,0,18899.34900528764,True,20,False,0,18878.312398566806,True,20,False,0,14,0,20,0,9,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,5,s9
NIFTY BANK,NSE,2015-02-18 14:25:00,19321.2,True,False,2015-02-18 14:25:00,19320.1,19330.2,19314.45,19321.2,0,19289.428552637528,True,19,False,0,19272.52539154174,True,7,False,0,19274.983696429576,True,7,False,0,19244.383931286902,True,5,False,0,6,0,7,0,224,0,BUY,1,19257.55,2015-02-19 10:30:00,SELL,6,s9
NIFTY BANK,NSE,2015-02-19 11:25:00,19061.7,False,True,2015-02-19 11:25:00,19041.3,19063.75,19035.25,19061.7,0,19152.512022545816,False,0,True,13,19221.543413308205,False,0,True,16,19250.51163643464,False,0,True,15,19243.15982592968,False,0,True,12,0,11,0,16,0,5,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,7,s9
NIFTY BANK,NSE,2015-02-20 09:50:00,19015.25,False,True,2015-02-20 09:50:00,18971.7,19015.25,18970.15,19015.25,0,19032.19216868527,False,0,True,6,19053.65986649782,False,0,True,6,19104.75756463424,False,0,True,8,19153.844263167084,False,0,True,8,0,5,0,6,0,61,SELL,-1,19159.85,2015-02-20 11:20:00,BUY,8,s9
NIFTY BANK,NSE,2015-02-23 11:20:00,19078.95,False,True,2015-02-23 11:20:00,19104.8,19105.3,19063.05,19078.95,0,19135.138743777265,False,0,True,6,19144.153262477284,False,0,True,6,19143.192434768585,False,0,True,6,19151.969138735625,False,0,True,6,0,5,0,6,0,29,SELL,-1,18984.25,2015-02-25 09:15:00,BUY,9,s9
NIFTY BANK,NSE,2015-02-25 13:45:00,18921.6,False,True,2015-02-25 13:45:00,18921.55,18925.55,18914.85,18921.6,0,18938.317469789574,False,0,True,5,18947.93457641793,False,0,True,18,18948.31158542102,False,0,True,18,18975.71677263116,False,0,True,5,0,8,0,9,0,208,SELL,-1,18779.6,2015-02-27 11:25:00,BUY,10,s9
NIFTY BANK,NSE,2015-02-27 13:25:00,18976.8,True,False,2015-02-27 13:25:00,18989.95,18995.1,18969.0,18976.8,0,18910.44534236153,True,10,False,0,18826.185283749488,True,11,False,0,18779.38555813788,True,10,False,0,18795.81361085153,True,5,False,0,44,0,51,0,7,0,BUY,1,19924.0,2015-03-04 14:25:00,SELL,11,s9
NIFTY BANK,NSE,2015-03-05 10:10:00,19580.35,False,True,2015-03-05 10:10:00,19594.85,19611.55,19576.75,19580.35,0,19661.34169773757,False,0,True,9,19817.481039152983,False,0,True,9,19910.850570219685,False,0,True,8,19875.90062678043,False,0,True,5,0,47,0,29,0,8,SELL,-1,19768.2,2015-03-05 15:05:00,BUY,12,s9
NIFTY BANK,NSE,2015-03-09 09:45:00,19329.25,False,True,2015-03-09 09:45:00,19343.15,19343.15,19309.95,19329.25,0,19507.00211593804,False,0,True,7,19558.256361487547,False,0,True,7,19640.85828405733,False,0,True,7,19716.097391827258,False,0,True,15,0,5,0,7,0,78,SELL,-1,19172.35,2015-03-12 09:15:00,BUY,13,s9
NIFTY BANK,NSE,2015-03-13 10:45:00,19059.95,False,True,2015-03-13 10:45:00,19067.4,19071.1,19059.95,19059.95,0,19121.723815732214,False,0,True,9,19141.12389181231,False,0,True,9,19137.835783718067,False,0,True,9,19158.413964618816,False,0,True,9,0,5,0,9,0,7,SELL,-1,18939.3,2015-03-17 09:15:00,BUY,14,s9
NIFTY BANK,NSE,2015-03-17 13:40:00,18792.75,False,True,2015-03-17 13:40:00,18824.65,18824.65,18782.05,18792.75,0,18869.47238249505,False,0,True,5,18903.823185795794,False,0,True,20,18901.73113392898,False,0,True,13,18927.427306910537,False,0,True,20,0,9,0,20,0,9,SELL,-1,18925.1,2015-03-17 14:55:00,BUY,15,s9
NIFTY BANK,NSE,2015-03-18 10:00:00,19024.35,True,False,2015-03-18 10:00:00,19012.15,19037.3,19003.25,19024.35,0,18985.526509436644,True,17,False,0,18948.643852779725,True,17,False,0,18926.59609013416,True,17,False,0,18933.28329891476,True,17,False,0,14,0,17,0,9,0,BUY,1,19037.85,2015-03-19 14:25:00,SELL,16,s9
