tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-05 09:25:00,19175.85,False,True,2015-02-05 09:25:00,19198.05,19224.75,19164.05,19175.85,0,19220.24602838498,False,0,True,10,19252.20685052497,False,0,True,10,19317.397517273188,False,0,True,5,19476.413678490026,False,0,False,0,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s1
NIFTY BANK,NSE,2015-02-05 15:20:00,19009.55,False,True,2015-02-05 15:20:00,19010.0,19011.85,18977.9,19009.55,0,19212.343336346363,False,0,True,10,19249.1964699796,False,0,True,7,19268.00891044673,False,0,True,7,19362.209855844383,False,0,True,10,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s1
NIFTY BANK,NSE,2015-02-10 14:30:00,18558.35,False,True,2015-02-10 14:30:00,18496.15,18560.4,18496.15,18558.35,0,18590.73824490053,False,0,True,10,18655.065094085923,False,0,True,19,18674.82415789557,False,0,True,15,18760.28817010856,False,0,True,9,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s1
NIFTY BANK,NSE,2015-02-11 12:15:00,18978.9,True,False,2015-02-11 12:15:00,18989.7,18994.25,18972.35,18978.9,0,18962.81735574326,True,10,False,0,18903.89296316068,True,6,False,0,18833.82185428932,True,6,False,0,18822.509602172297,True,19,False,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s1
NIFTY BANK,NSE,2015-02-12 14:40:00,19044.35,True,False,2015-02-12 14:40:00,18993.0,19048.75,18986.5,19044.35,0,18899.20711709608,True,18,False,0,18868.77480793368,True,13,False,0,18868.55141123406,True,13,False,0,18861.97548121589,True,13,False,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,4,s1
NIFTY BANK,NSE,2015-02-19 11:45:00,19067.45,False,True,2015-02-19 11:45:00,19075.5,19076.75,19059.4,19067.45,0,19122.15636483869,False,0,True,17,19197.645884325186,False,0,True,20,19235.844663569125,False,0,True,19,19235.96323292984,False,0,True,16,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,5,s1
NIFTY BANK,NSE,2015-02-23 11:40:00,19110.8,False,True,2015-02-23 11:40:00,19095.8,19112.05,19093.1,19110.8,0,19124.34641290304,False,0,True,10,19137.94149577852,False,0,True,10,19140.02946941426,False,0,True,10,19150.008042740184,False,0,True,10,SELL,-1,18984.25,2015-02-25 09:15:00,BUY,6,s1
NIFTY BANK,NSE,2015-02-25 14:20:00,18824.0,False,True,2015-02-25 14:20:00,18800.05,18829.1,18796.65,18824.0,0,18887.41283065816,False,0,True,12,18921.6332084797,False,0,True,5,18934.328274421216,False,0,True,5,18966.66378272989,False,0,True,12,SELL,-1,18779.6,2015-02-27 11:25:00,BUY,7,s1
NIFTY BANK,NSE,2015-02-27 14:05:00,19023.35,True,False,2015-02-27 14:05:00,19001.05,19023.35,18999.15,19023.35,0,18964.98602726975,True,18,False,0,18876.032721920208,True,19,False,0,18813.150184108763,True,18,False,0,18812.09163204663,True,13,False,0,BUY,1,19924.0,2015-03-04 14:25:00,SELL,8,s1
NIFTY BANK,NSE,2015-03-05 12:20:00,19589.05,False,True,2015-03-05 12:20:00,19592.2,19606.45,19586.85,19589.05,0,19608.3750771214,False,0,True,10,19684.49497928585,False,0,True,15,19790.676752167285,False,0,True,14,19816.350977025617,False,0,True,11,SELL,-1,19768.2,2015-03-05 15:05:00,BUY,9,s1
