tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema5,is_ema5_in_uptrend,ema5_uptrend_time_span,is_ema5_in_downtrend,ema5_downtrend_time_span,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_ema20_above_ema50,candle_cnt_ema20_below_ema50,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-27 13:40:00,19027.4,True,False,2015-02-27 13:40:00,18979.4,19027.4,18979.4,19027.4,0,18992.183169755663,True,5,False,0,18932.56057696337,True,13,False,0,18845.25079605765,True,14,False,0,18791.91075102863,True,13,False,0,18801.682534616662,True,8,False,0,47,0,54,0,10,0,BUY,1,19924.0,2015-03-04 14:25:00,SELL,10,s8
NIFTY BANK,NSE,2015-03-05 11:55:00,19585.8,False,True,2015-03-05 11:55:00,19550.55,19587.25,19550.2,19585.8,0,19586.730736698024,False,0,True,5,19619.388655318937,False,0,True,5,19705.10346923011,False,0,True,10,19811.632131946364,False,0,True,9,19827.88326252641,False,0,True,6,0,68,0,50,0,29,SELL,-1,19768.2,2015-03-05 15:05:00,BUY,11,s8
NIFTY BANK,NSE,2015-03-09 09:45:00,19329.25,False,True,2015-03-09 09:45:00,19343.15,19343.15,19309.95,19329.25,0,19370.09418532105,False,0,True,7,19507.00211593804,False,0,True,7,19558.256361487547,False,0,True,7,19640.85828405733,False,0,True,7,19716.097391827258,False,0,True,15,0,5,0,7,0,78,SELL,-1,19172.35,2015-03-12 09:15:00,BUY,12,s8
NIFTY BANK,NSE,2015-03-13 11:05:00,19033.75,False,True,2015-03-13 11:05:00,19054.7,19054.7,19031.7,19033.75,0,19047.177144193847,False,0,True,5,19096.124028002927,False,0,True,13,19126.813201461937,False,0,True,13,19130.653294654618,False,0,True,13,19153.94689202092,False,0,True,13,0,9,0,13,0,11,SELL,-1,18939.3,2015-03-17 09:15:00,BUY,13,s8
NIFTY BANK,NSE,2015-03-17 13:40:00,18792.75,False,True,2015-03-17 13:40:00,18824.65,18824.65,18782.05,18792.75,0,18819.745446102534,False,0,True,9,18869.47238249505,False,0,True,5,18903.823185795794,False,0,True,20,18901.73113392898,False,0,True,13,18927.427306910537,False,0,True,20,0,9,0,20,0,9,SELL,-1,18925.1,2015-03-17 14:55:00,BUY,14,s8
NIFTY BANK,NSE,2015-03-18 10:15:00,19079.15,True,False,2015-03-18 10:15:00,19062.25,19089.55,19058.65,19079.15,0,19046.3146514874,True,5,False,0,19004.891656217034,True,20,False,0,18961.15923691252,True,20,False,0,18934.30766640353,True,20,False,0,18936.995743887124,True,20,False,0,17,0,20,0,12,0,BUY,1,19037.85,2015-03-19 14:25:00,SELL,15,s8
NIFTY BANK,NSE,2015-03-20 09:25:00,18691.85,False,True,2015-03-20 09:25:00,18722.1,18735.95,18687.85,18691.85,0,18736.865256619232,False,0,True,5,18896.22463159541,False,0,True,17,19044.480290660013,False,0,True,17,19103.87102165732,False,0,False,0,19092.74159955113,False,0,True,16,0,32,0,28,0,5,SELL,-1,18086.1,2015-03-27 14:45:00,BUY,16,s8
NIFTY BANK,NSE,2015-03-30 13:05:00,18217.25,True,False,2015-03-30 13:05:00,18216.3,18232.7,18208.05,18217.25,0,18199.48100648883,True,5,False,0,18165.955502831705,True,11,False,0,18129.21077696399,True,13,False,0,18083.164620251835,True,10,False,0,18100.019549322205,True,8,False,0,68,0,73,0,24,0,BUY,1,18232.15,2015-03-31 14:20:00,SELL,17,s8
NIFTY BANK,NSE,2015-04-01 13:45:00,18426.75,True,False,2015-04-01 13:45:00,18442.75,18442.75,18406.9,18426.75,0,18411.50613798274,True,8,False,0,18348.54145408493,True,5,False,0,18309.96204333358,True,14,False,0,18296.292345465885,True,13,False,0,18266.462279819505,True,5,False,0,12,0,14,0,182,0,BUY,1,18440.5,2015-04-07 11:10:00,SELL,18,s8
NIFTY BANK,NSE,2015-04-08 15:10:00,18412.0,False,True,2015-04-08 15:10:00,18409.2,18416.25,18403.5,18412.0,0,18418.0017792083,False,0,True,5,18432.27308609106,False,0,True,11,18448.366373362565,False,0,True,11,18463.9839301987,False,0,True,11,18465.241010511883,False,0,True,10,0,29,0,31,0,24,SELL,-1,18805.0,2015-04-10 09:15:00,BUY,19,s8
NIFTY BANK,NSE,2015-04-10 09:40:00,18852.0,True,False,2015-04-10 09:40:00,18835.35,18857.05,18818.5,18852.0,0,18802.75562723948,True,7,False,0,18610.447444839323,True,6,False,0,18526.89777963524,True,6,False,0,18502.79057931293,True,6,False,0,18485.03047469833,True,6,False,0,6,0,6,0,5,0,BUY,1,18810.55,2015-04-15 15:00:00,SELL,20,s8
NIFTY BANK,NSE,2015-04-16 10:50:00,18571.25,False,True,2015-04-16 10:50:00,18560.35,18581.85,18555.1,18571.25,0,18573.506003042363,False,0,True,6,18625.1044463346,False,0,True,8,18740.92887223892,False,0,True,7,18806.7721218401,False,0,True,6,18802.48783958137,False,0,True,6,0,25,0,27,0,11,SELL,-1,18238.7,2015-04-22 15:05:00,BUY,21,s8
