tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-04 13:40:00,19267.45,False,True,2015-02-04 13:40:00,19254.85,19278.1,19251.15,19267.45,0,19258.89551415629,True,10,False,0,19273.869173827763,False,0,True,5,19360.96903508105,False,0,False,0,19537.67111780832,False,0,True,17,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s4
NIFTY BANK,NSE,2015-02-05 15:10:00,19049.25,False,True,2015-02-05 15:10:00,19057.1,19084.05,19034.45,19049.25,0,19257.23631947021,False,0,True,8,19269.140324205306,False,0,True,5,19278.548086446328,False,0,True,5,19369.329131018807,False,0,True,8,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s4
NIFTY BANK,NSE,2015-02-10 13:20:00,18681.3,False,True,2015-02-10 13:20:00,18720.3,18724.8,18680.7,18681.3,0,18753.10341750537,False,0,True,16,18733.395088246914,False,0,True,5,18713.361869616845,False,0,False,0,18790.680327682858,False,0,True,15,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s4
NIFTY BANK,NSE,2015-02-11 10:05:00,18976.25,True,False,2015-02-11 10:05:00,18971.35,18980.85,18964.65,18976.25,0,18869.62392334335,False,0,False,0,18780.6186188784,True,20,False,0,18739.32502786459,True,20,False,0,18777.80107453023,True,13,False,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s4
NIFTY BANK,NSE,2015-02-12 12:30:00,18764.85,False,True,2015-02-12 12:30:00,18817.9,18817.9,18764.85,18764.85,0,18812.00580252408,False,0,True,7,18854.536845719304,False,0,True,5,18870.20403816118,False,0,True,17,18862.274103160795,False,0,True,14,SELL,-1,18854.95,2015-02-12 13:40:00,BUY,4,s4
NIFTY BANK,NSE,2015-02-12 14:35:00,18991.55,True,False,2015-02-12 14:35:00,18941.4,18995.45,18941.4,18991.55,0,18883.92891889566,True,17,False,0,18861.60847356362,True,12,False,0,18864.999924592325,True,12,False,0,18860.14257147937,True,12,False,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,5,s4
NIFTY BANK,NSE,2015-02-18 10:25:00,19297.2,True,False,2015-02-18 10:25:00,19274.4,19303.2,19274.4,19297.2,0,19264.967067607933,True,8,False,0,19282.548126350208,True,6,False,0,19290.515089379664,False,0,False,0,19232.826027606334,True,8,False,0,BUY,1,19232.0,2015-02-18 11:50:00,SELL,6,s4
NIFTY BANK,NSE,2015-02-18 14:25:00,19321.2,True,False,2015-02-18 14:25:00,19320.1,19330.2,19314.45,19321.2,0,19289.428552637528,True,19,False,0,19272.52539154174,True,7,False,0,19274.983696429576,True,7,False,0,19244.383931286902,True,5,False,0,BUY,1,19257.55,2015-02-19 10:30:00,SELL,7,s4
NIFTY BANK,NSE,2015-02-19 11:05:00,19027.75,False,True,2015-02-19 11:05:00,19031.85,19072.9,19014.75,19027.75,0,19201.542706522603,False,0,True,9,19250.77425181825,False,0,True,12,19266.948008492847,False,0,True,11,19250.91292161614,False,0,True,8,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,8,s4
NIFTY BANK,NSE,2015-02-20 09:45:00,18971.7,False,True,2015-02-20 09:45:00,18940.3,18986.85,18936.1,18971.7,0,19033.975554862667,False,0,True,5,19055.22761615079,False,0,True,5,19106.56579830873,False,0,True,7,19155.23817358944,False,0,True,7,SELL,-1,19159.85,2015-02-20 11:20:00,BUY,9,s4
